year,country1,country2,r,p,n
2015,AT,BE,0.03046338008651945,0.006206567627383062,8069
2015,AT,BG,0.058884212164089324,1.201931730241876e-07,8069
2015,AT,CH,0.13707599785662752,3.810974728557024e-35,8069
2015,AT,CZ,0.4901877872166996,0.0,8069
2015,AT,DE,0.1951828225436276,4.1496137340193233e-70,8069
2015,AT,DK,0.09845472329363632,7.710748773097687e-19,8069
2015,AT,EE,-0.004831536257348399,0.6643315312819541,8069
2015,AT,ES,0.08523703394912227,1.727851267567506e-14,8069
2015,AT,FI,0.02716515220757733,0.014676978077208634,8069
2015,AT,FR,0.13130719675741565,2.2978797496993055e-32,8069
2015,AT,GB,-0.043636157193264705,8.818514534889318e-05,8069
2015,AT,GR,0.012950958002052029,0.24473936741984126,8069
2015,AT,HU,0.8461831640691748,0.0,8069
2015,AT,IE,0.03489158702255794,0.0017203181433122399,8069
2015,AT,IT,0.2769668061681295,4.962397178149768e-142,8069
2015,AT,LT,0.03264148649159267,0.003363165028050885,8069
2015,AT,LU,0.15090380384419916,2.60697539558689e-42,8069
2015,AT,LV,-0.028796124449803086,0.009686540184239758,8069
2015,AT,NL,0.03373617117752364,0.00243880182297486,8069
2015,AT,NO,0.03900285531072725,0.0004577681873432583,8069
2015,AT,PL,0.23619591002055887,1.0383429185772246e-102,8069
2015,AT,PT,-0.0015337083277517578,0.8904395075736158,8069
2015,AT,RO,0.09853647834890741,7.215339483576921e-19,8069
2015,AT,SE,0.005785189898493577,0.6033468351409258,8069
2015,AT,SI,-0.011560618237239896,0.2991133989215966,8069
2015,AT,SK,,,8069
2015,BE,BG,-0.0029701404484261027,0.7896540462132824,8069
2015,BE,CH,0.4028628911574822,1.329782713917e-312,8069
2015,BE,CZ,0.3836299207047673,3.1201852091237193e-281,8069
2015,BE,DE,0.7012506420700887,0.0,8069
2015,BE,DK,0.38281575932277606,5.975350894307558e-280,8069
2015,BE,EE,0.22830196479756157,6.613965334836749e-96,8069
2015,BE,ES,-0.023106683824789875,0.03793338920417377,8069
2015,BE,FI,0.20190629286991646,5.427701530617581e-75,8069
2015,BE,FR,0.7704974835418087,0.0,8069
2015,BE,GB,0.6455315228896712,0.0,8069
2015,BE,GR,-0.06442754509137902,6.9348662695135795e-09,8069
2015,BE,HU,-0.013993764830590743,0.20879228239687242,8069
2015,BE,IE,0.3814098772891132,9.590053417705358e-278,8069
2015,BE,IT,-0.0071907123409611865,0.5183876422935402,8069
2015,BE,LT,0.3062755277613161,8.243164322914402e-175,8069
2015,BE,LU,0.740517271477648,0.0,8069
2015,BE,LV,0.24316117741932183,6.287374447022866e-109,8069
2015,BE,NL,0.775211621397639,0.0,8069
2015,BE,NO,0.26384063254652945,1.3595278923183167e-128,8069
2015,BE,PL,0.38497660362433084,2.319080323038213e-283,8069
2015,BE,PT,-0.017064693581017275,0.12533628113870787,8069
2015,BE,RO,0.010331838708260542,0.3534255241064551,8069
2015,BE,SE,0.28872432992549035,1.030514858629007e-154,8069
2015,BE,SI,-0.0745206981679499,2.051648642602678e-11,8069
2015,BE,SK,,,8069
2015,BG,CH,-0.019098976495488185,0.08625247218200453,8069
2015,BG,CZ,0.10711253044185894,5.015371392351002e-22,8069
2015,BG,DE,-0.009191844958834187,0.40904748640398425,8069
2015,BG,DK,0.006741114337569984,0.5448791915604599,8069
2015,BG,EE,0.07447784880483072,2.106633557101456e-11,8069
2015,BG,ES,0.028821060184099877,0.009623728142061694,8069
2015,BG,FI,0.05899025935616761,1.1407036315765337e-07,8069
2015,BG,FR,0.023719461664003225,0.03311945010608441,8069
2015,BG,GB,0.026544298192358543,0.017104130833853634,8069
2015,BG,GR,0.29696663109783045,5.637452237247426e-164,8069
2015,BG,HU,0.07307665301705298,4.961980823093538e-11,8069
2015,BG,IE,0.05725070600114257,2.659316406507109e-07,8069
2015,BG,IT,0.291056264455669,2.6541526648766078e-157,8069
2015,BG,LT,0.042896197895606156,0.00011599474052200937,8069
2015,BG,LU,0.005239119076313987,0.637963636328887,8069
2015,BG,LV,0.033102765532271386,0.0029404405818155943,8069
2015,BG,NL,-0.06804929628028543,9.4251809719764e-10,8069
2015,BG,NO,0.11483666556575503,4.266306817529683e-25,8069
2015,BG,PL,0.04855287453670307,1.2812303309519799e-05,8069
2015,BG,PT,0.021567293290728002,0.052713124724519285,8069
2015,BG,RO,0.7628219731441359,0.0,8069
2015,BG,SE,0.10925048804211547,7.447174932065189e-23,8069
2015,BG,SI,0.178503845774998,9.339675423840286e-59,8069
2015,BG,SK,,,8069
2015,CH,CZ,0.2751861556052815,3.654838606908707e-140,8069
2015,CH,DE,0.41223069150476305,0.0,8069
2015,CH,DK,0.1470930094252959,2.8944535047091948e-40,8069
2015,CH,EE,0.04208729380215623,0.00015576666116725083,8069
2015,CH,ES,0.015587026123729366,0.16150928478427154,8069
2015,CH,FI,0.10016383745177461,1.9020920884227836e-19,8069
2015,CH,FR,0.5442312563346453,0.0,8069
2015,CH,GB,0.2558721530293467,8.444993395911055e-121,8069
2015,CH,GR,-0.0944227961123337,1.9048355884862584e-17,8069
2015,CH,HU,0.10170479921106815,5.2751115710123535e-20,8069
2015,CH,IE,0.16919550141787118,6.913613101016209e-53,8069
2015,CH,IT,0.07794599084714485,2.361374936728842e-12,8069
2015,CH,LT,0.1462682352681771,7.891199459674965e-40,8069
2015,CH,LU,0.5123758900330467,0.0,8069
2015,CH,LV,0.07521704240518196,1.332124626206243e-11,8069
2015,CH,NL,0.35038718519984186,8.901980662112558e-232,8069
2015,CH,NO,0.009354593545793332,0.40080242280963513,8069
2015,CH,PL,0.254294292776624,2.7384386417542584e-119,8069
2015,CH,PT,-0.03800466629711293,0.0006388206144187783,8069
2015,CH,RO,0.03492991852686909,0.0017002210953426069,8069
2015,CH,SE,0.08767421360035729,3.033006204970052e-15,8069
2015,CH,SI,-0.09319526292094794,4.9250221280389e-17,8069
2015,CH,SK,,,8069
2015,CZ,DE,0.6950085166185673,0.0,8069
2015,CZ,DK,0.36123140124713715,2.872280280136264e-247,8069
2015,CZ,EE,0.1856874558453785,1.6338028981211717e-63,8069
2015,CZ,ES,0.039268993001020956,0.0004183102064681188,8069
2015,CZ,FI,0.09491474510474979,1.2972392935818905e-17,8069
2015,CZ,FR,0.41230109568301543,0.0,8069
2015,CZ,GB,0.21755922412345952,4.685329341689902e-87,8069
2015,CZ,GR,0.01610600341323454,0.14799959283565547,8069
2015,CZ,HU,0.38120548954594907,2.0023805949461495e-277,8069
2015,CZ,IE,0.203500062618552,3.555406030900554e-76,8069
2015,CZ,IT,0.18726777711039153,1.3800660811398425e-64,8069
2015,CZ,LT,0.358647758138192,1.600775124477715e-243,8069
